data_dia,id_produto,descricao_produto,total_venda_dia_kg,vendas_caixa,Equipe responsável,Feriados_e_Finais_de_Semana
2025-03-25 00:00:00,384706,PE FRANGO INTERF CONG KG,"117,2","7,66",Código Neural,
2025-03-26 00:00:00,384706,PE FRANGO INTERF CONG KG,"113,4","7,41",Código Neural,
2025-03-27 00:00:00,384706,PE FRANGO INTERF CONG KG,"141,7","9,26",Código Neural,
2025-03-28 00:00:00,384706,PE FRANGO INTERF CONG KG,"122,95","8,04",Código Neural,
2025-03-29 00:00:00,384706,PE FRANGO INTERF CONG KG,"135,48","8,85",Código Neural,Sábado
2025-03-30 00:00:00,384706,PE FRANGO INTERF CONG KG,"97,72","6,39",Código Neural,Domingo
2025-03-31 00:00:00,384706,PE FRANGO INTERF CONG KG,"124,01","8,11",Código Neural,
2025-04-01 00:00:00,384706,PE FRANGO INTERF CONG KG,"133,34","8,72",Código Neural,
2025-04-02 00:00:00,384706,PE FRANGO INTERF CONG KG,"121,23","7,92",Código Neural,
2025-04-03 00:00:00,384706,PE FRANGO INTERF CONG KG,"135,98","8,89",Código Neural,
2025-04-04 00:00:00,384706,PE FRANGO INTERF CONG KG,"112,24","7,34",Código Neural,
2025-04-05 00:00:00,384706,PE FRANGO INTERF CONG KG,"141,14","9,22",Código Neural,Sábado
2025-04-06 00:00:00,384706,PE FRANGO INTERF CONG KG,"154,48","10,10",Código Neural,Domingo
2025-04-07 00:00:00,384706,PE FRANGO INTERF CONG KG,"114,56","7,49",Código Neural,
2025-04-08 00:00:00,384706,PE FRANGO INTERF CONG KG,"113,32","7,41",Código Neural,
2025-04-09 00:00:00,384706,PE FRANGO INTERF CONG KG,"141,8","9,27",Código Neural,
2025-04-10 00:00:00,384706,PE FRANGO INTERF CONG KG,"143,69","9,39",Código Neural,
2025-04-11 00:00:00,384706,PE FRANGO INTERF CONG KG,"112,16","7,33",Código Neural,
2025-04-12 00:00:00,384706,PE FRANGO INTERF CONG KG,"113,7","7,43",Código Neural,Sábado
2025-04-13 00:00:00,384706,PE FRANGO INTERF CONG KG,"115,77","7,57",Código Neural,Domingo
2025-04-14 00:00:00,384706,PE FRANGO INTERF CONG KG,"99,83","6,52",Código Neural,
2025-04-15 00:00:00,384706,PE FRANGO INTERF CONG KG,"106,22","6,94",Código Neural,
2025-04-16 00:00:00,384706,PE FRANGO INTERF CONG KG,"104,94","6,86",Código Neural,
2025-04-17 00:00:00,384706,PE FRANGO INTERF CONG KG,"108,48","7,09",Código Neural,
2025-04-18 00:00:00,384706,PE FRANGO INTERF CONG KG,"119,48","7,81",Código Neural,
2025-04-19 00:00:00,384706,PE FRANGO INTERF CONG KG,"123,51","8,07",Código Neural,Sábado
