ds,yhat
2025-06-23,120.7144751780383
2025-06-24,128.25416280390394
2025-06-25,126.70090982522234
2025-06-26,133.58968325578516
2025-06-27,127.9369997713605
2025-06-28,128.36352934185737
2025-06-29,127.17952665894684
2025-06-30,121.24950223562355
2025-07-01,128.78918986147383
2025-07-02,127.23593688281102
2025-07-03,134.12471031335713
2025-07-04,128.4720268289329
2025-07-05,128.89855639944025
2025-07-06,127.71455371655986
2025-07-07,121.78452929320879
2025-07-08,129.32421691907396
2025-07-09,127.7709639403997
2025-07-10,134.659737370956
2025-07-11,129.00705388652557
2025-07-12,129.43358345705215
2025-07-13,128.24958077414297
2025-07-14,122.31955635079407
2025-07-15,129.85924397666156
2025-07-16,128.30599099799238
2025-07-17,135.19476442854548
2025-07-18,129.54208094411825
2025-07-19,129.968610514612
2025-07-20,128.784607831756
2025-07-21,122.85458340839457
2025-07-22,130.39427103425544
